preferredName_A	preferredName_B	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	score
ABCB1	TP53	9606.ENSP00000478255	9606.ENSP00000269305	0	0	0	0	0	0	0	0.617	0.617
ABCB1	EGFR	9606.ENSP00000478255	9606.ENSP00000275493	0	0	0	0	0.071	0	0	0.607	0.619
ABCB1	BCL2	9606.ENSP00000478255	9606.ENSP00000381185	0	0	0	0	0.049	0.166	0	0.622	0.674
ABCB1	ACTB	9606.ENSP00000478255	9606.ENSP00000494750	0	0	0	0	0.067	0.051	0	0.588	0.603
ABCC3	NUP93	9606.ENSP00000285238	9606.ENSP00000310668	0	0	0	0	0	0.069	0	0.683	0.692
ABL1	RPS6KB1	9606.ENSP00000361423	9606.ENSP00000225577	0	0	0	0.577	0	0.278	0	0.476	0.606
ABL1	SMO	9606.ENSP00000361423	9606.ENSP00000249373	0	0	0	0	0.072	0.071	0	0.625	0.648
ABL1	CDK4	9606.ENSP00000361423	9606.ENSP00000257904	0	0	0	0.607	0.097	0.098	0.400	0.511	0.729
ABL1	TCF3	9606.ENSP00000361423	9606.ENSP00000262965	0	0	0	0	0.108	0	0.500	0.658	0.834
ABL1	EP300	9606.ENSP00000361423	9606.ENSP00000263253	0	0	0	0	0.304	0.230	0	0.438	0.673
ABL1	PIK3CA	9606.ENSP00000361423	9606.ENSP00000263967	0	0	0	0	0.049	0.069	0	0.754	0.763
ABL1	RB1	9606.ENSP00000361423	9606.ENSP00000267163	0	0	0	0	0.049	0.736	0.900	0.312	0.980
ABL1	CDH2	9606.ENSP00000361423	9606.ENSP00000269141	0	0	0	0	0	0.067	0.500	0.329	0.659
ABL1	TP53	9606.ENSP00000361423	9606.ENSP00000269305	0	0	0	0	0.056	0.292	0	0.875	0.909
ABL1	ERBB2	9606.ENSP00000361423	9606.ENSP00000269571	0	0	0	0.591	0.049	0.615	0	0.325	0.731
ABL1	MEF2D	9606.ENSP00000361423	9606.ENSP00000271555	0	0	0	0	0.064	0	0.500	0.338	0.663
ABL1	EGFR	9606.ENSP00000361423	9606.ENSP00000275493	0	0	0	0.591	0.067	0.790	0	0.347	0.861
ABL1	NTRK2	9606.ENSP00000361423	9606.ENSP00000277120	0	0	0	0.634	0	0	0.900	0.145	0.910
ABL1	ATM	9606.ENSP00000361423	9606.ENSP00000278616	0	0	0	0	0	0.820	0.750	0.774	0.988
